antecedents,consequents,antecedent support_orig,consequent support_orig,support_orig,confidence_orig,lift_orig,leverage_orig,conviction_orig,zhangs_metric_orig,antecedent support_transf,consequent support_transf,support_transf,confidence_transf,lift_transf,leverage_transf,conviction_transf,zhangs_metric_transf
"frozenset({'female', 'n_married'})",frozenset({'<50K'}),0.2704473334015764,0.7574982086191012,0.2572422970621353,0.9511733535200606,1.255677363586145,0.05237892648462836,4.966587076188644,0.27909854026356334,0.2704473334015764,0.9656054867437813,0.26911659330535365,0.9950794852384557,1.0305238515100683,0.00797116429756678,6.990023386379168,0.040599869252532665
"frozenset({'female', 'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.24731292865185792,0.7574982086191012,0.23492680929470774,0.9499172185430463,1.2540190956685162,0.04758770887258179,4.84201923947315,0.26912110629040903,0.24731292865185792,0.9656054867437813,0.24598218855563517,0.9946192052980132,1.0300471765669768,0.007175467706727834,6.392088002078712,0.03875538866683654
"frozenset({'female', 'white', 'n_married'})",frozenset({'<50K'}),0.21527280171972565,0.7574982086191012,0.2037055993448664,0.9462672372800761,1.2492006271606844,0.04063683767775925,4.513108559947172,0.2542132787600932,0.21527280171972565,0.9656054867437813,0.21435152011464836,0.9957203994293866,1.0311875948293945,0.006482921627375154,8.036851264203143,0.03854122359213499
frozenset({'Age (decade)_20.0'}),frozenset({'<50K'}),0.24628928242399425,0.7574982086191012,0.23226532910226225,0.9430590191188695,1.2449653456448968,0.04570163886400272,4.2588270807477535,0.2610614206429334,0.24628928242399425,0.9656054867437813,0.24567509468727608,0.9975062344139651,1.033037040601084,0.007856812252478473,13.792199815743933,0.04243073475485543
"frozenset({'Age (decade)_20.0', 'UnitedStates'})",frozenset({'<50K'}),0.2186508342716757,0.7574982086191012,0.2054457979322346,0.9396067415730337,1.2404078727604009,0.039818182658368284,4.015378499144184,0.24804987861494338,0.2186508342716757,0.9656054867437813,0.21803664653495752,0.9971910112359551,1.0327105892890964,0.006906201281122237,12.244446719214059,0.04053821158313703
frozenset({'n_married'}),frozenset({'<50K'}),0.5225713993243934,0.7574982086191012,0.4873579690858839,0.932615083251714,1.2311779389575668,0.09151107022207888,3.5987547819752588,0.39329382745671954,0.5225713993243934,0.9656054867437813,0.518783908281298,0.9927522037218414,1.0281136730794729,0.014186097878288062,4.745513247918841,0.05727538579943974
"frozenset({'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.47271982802743373,0.7574982086191012,0.4400655133585833,0.9309224772628844,1.2289434703217725,0.08198109044907265,3.5105745222476186,0.3533091743557182,0.47271982802743373,0.9656054867437813,0.4692394308526973,0.992637505413599,1.027994889259562,0.01277857121683057,4.67158418285935,0.05164714962410936
"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.4275770293786467,0.7574982086191012,0.3964581840515918,0.9272204931769213,1.2240563510601816,0.07256935025059008,3.332006521703999,0.31977079313999174,0.4275770293786467,0.9656054867437813,0.42440372607226945,0.9925784055542256,1.0279336842848754,0.0115330004986412,4.634383286168615,0.04747293356162469
"frozenset({'white', 'n_married', 'UnitedStates'})",frozenset({'<50K'}),0.3952298085781554,0.7574982086191012,0.3656464325928959,0.9251489251489252,1.2213216013216015,0.06626056060207292,3.2397903685870277,0.2996424837428856,0.3952298085781554,0.9656054867437813,0.3922612345173508,0.9924889924889925,1.0278410863590552,0.01062516282958953,4.579214333871034,0.04478884121597264
"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.25212406592281705,0.7574982086191012,0.23011567202374858,0.9127080795777507,1.2048980039723036,0.03913214373745047,2.7780554054472257,0.2273829436732642,0.25212406592281705,0.9656054867437813,0.24966731497594433,0.9902557856272839,1.0255283334880672,0.006214933580721366,3.5297369229194744,0.03328474565884475
