antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Deterministic Reranking_support,Deterministic Reranking_confidence
"frozenset({'male', 'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.154,0.869,0.171,0.963,0.15,0.844,0.17,0.96,0.154,0.869
"frozenset({'male', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.154,0.866,0.171,0.96,0.15,0.841,0.17,0.957,0.154,0.866
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.177,0.982,0.165,0.916,0.178,0.991,0.156,0.864
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.177,0.982,0.165,0.916,0.178,0.991,0.156,0.864
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.177,0.982,0.165,0.916,0.178,0.991,0.156,0.864
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.177,0.982,0.165,0.916,0.178,0.991,0.156,0.864
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.112,0.862,0.128,0.987,0.119,0.916,0.13,1.0,0.112,0.862
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.112,0.862,0.128,0.987,0.119,0.916,0.13,1.0,0.112,0.862
"frozenset({'male', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.112,0.862,0.128,0.987,0.119,0.916,0.13,1.0,0.112,0.862
"frozenset({'male', 'juv_fel=0', 'priors_No', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.112,0.862,0.128,0.987,0.119,0.916,0.13,1.0,0.112,0.862
"frozenset({'male', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.155,0.861,0.173,0.961,0.152,0.843,0.172,0.958,0.155,0.861
"frozenset({'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861,0.212,0.922,0.188,0.816,0.211,0.917,0.198,0.861
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.155,0.859,0.173,0.958,0.152,0.841,0.172,0.955,0.155,0.859
"frozenset({'n_recidive', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.198,0.859,0.212,0.92,0.188,0.814,0.211,0.915,0.198,0.859
"frozenset({'juv_fel=0', 'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.134,0.939,0.117,0.817,0.13,0.913,0.122,0.856
"frozenset({'priors_No', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.134,0.939,0.117,0.817,0.13,0.913,0.122,0.856
"frozenset({'juv_fel=0', 'priors_No', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.122,0.856,0.134,0.939,0.117,0.817,0.13,0.913,0.122,0.856
"frozenset({'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.134,0.939,0.117,0.817,0.13,0.913,0.122,0.856
"frozenset({'juv_fel=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.854,0.215,0.919,0.19,0.814,0.214,0.914,0.199,0.854
"frozenset({'n_recidive', 'c_felony', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.114,0.854,0.12,0.902,0.108,0.813,0.12,0.898,0.114,0.854
"frozenset({'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),0.114,0.854,0.12,0.902,0.108,0.813,0.12,0.898,0.114,0.854
"frozenset({'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.852,0.215,0.917,0.19,0.812,0.214,0.912,0.199,0.852
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.845,0.108,0.913,,,0.108,0.913,0.1,0.845
"frozenset({'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845,0.122,0.9,0.111,0.813,0.122,0.896,0.115,0.845
"frozenset({'juv_fel=0', 'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845,0.122,0.9,0.111,0.813,0.122,0.896,0.115,0.845
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836,0.116,0.951,0.108,0.884,0.119,0.973,0.102,0.836
"frozenset({'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836,0.116,0.951,0.108,0.884,0.119,0.973,0.102,0.836
"frozenset({'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836,0.116,0.951,0.108,0.884,0.119,0.973,0.102,0.836
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836,0.116,0.951,0.108,0.884,0.119,0.973,0.102,0.836
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.833,0.109,0.91,,,0.109,0.91,0.1,0.833
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.129,0.829,0.139,0.895,0.125,0.805,0.139,0.892,0.129,0.829
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.102,0.828,0.111,0.899,,,0.111,0.899,0.102,0.828
"frozenset({'c_misdemeanor', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.129,0.821,0.14,0.893,0.126,0.803,0.14,0.89,0.129,0.821
"frozenset({'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.151,0.821,0.164,0.888,0.154,0.835,0.179,0.971,0.151,0.821
"frozenset({'male', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.102,0.817,0.112,0.896,0.1,0.804,0.112,0.896,0.102,0.817
